sut,komoditas,provinsi,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KELAPA,ACEH,-,2020,MINERAL,SMALLHOLDER,7.4,2.4,14831,1,Tidak dipupuk,input,input,pupuk,set up,rp,65000,65000,liter,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,"Bibit yang digunakan: alam/cabutan, membeli",input,input,bahan tanam /bibit,kelapa,rp,3000,3000,batang,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Dikelola turun-temurun, biasanya umur 4 tahun sudah menghasilkan",input,input,peralatan,Sabit,rp,30000,30000,unit,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
,,,,,,,,,,,Periode perhitungan 30 tahun,input,input,peralatan,Ambung,rp,4000,4000,unit,0,0,0,0,0,35,35,35,75,75,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50
,,,,,,,,,,,,input,input,peralatan,Cangkul,rp,100000,100000,pair,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
,,,,,,,,,,,,input,input,peralatan,Parang,rp,75000,75000,unit,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
,,,,,,,,,,,,input,input,peralatan,Sprayer,rp,300000,300000,unit,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1
,,,,,,,,,,,,input,input,peralatan,Tangkus,rp,20000,20000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,,,input,input,peralatan,Bambu,rp,5000,5000,unit,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,,,,,,,,,,,input,input,tenaga kerja,tebas,rp,80000,80000,hok,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,input,input,tenaga kerja,bakar,rp,80000,80000,hok,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,input,input,tenaga kerja,Pembuatan parit cacing,rp,80000,80000,hok,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,input,input,tenaga kerja,Pemeliharaan parit cacing,rp,80000,80000,hok,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,input,input,tenaga kerja,Penanaman ,rp,80000,80000,hok,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,input,input,tenaga kerja,Penyiangan,rp,80000,80000,hok,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,,,input,input,tenaga kerja,Penyemprotan,rp,80000,80000,hok,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,input,input,tenaga kerja,Pemanenan,rp,80000,80000,hok,,,,0,0,29.16666667,29.16666667,29.16666667,62.5,62.5,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667
,,,,,,,,,,,,input,input,tenaga kerja,Transport ke langkau,rp,80000,80000,hok,,,,0,0,0.875,0.875,0.875,1.875,1.875,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
,,,,,,,,,,,,output,output,utama,kelapa,rp/butir,1200,1200,butir,0,0,0,0,0,3500,3500,3500,7500,7500,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
